id,query,expected_category,predicted_category,sentiment,priority,confidence,suggested_reply,automation_action
1,Where is my order? It's been 6 days and I haven't received anything.,order_status,order_status,frustrated,low,0.88,I understand your frustration. Let me check the status of your order and provide you with an update.,Send tracking link automatically
2,Can you tell me the current status of my order #BL2947?,order_status,order_status,neutral,medium,0.85,Thank you for reaching out! I can help you with that. Please hold on while I check the current status of your order #BL2947.,Send tracking link automatically
3,Just wanted to check if my order has been shipped yet.,order_status,order_status,neutral,medium,0.85,Thank you for reaching out! I will check the status of your order and get back to you shortly.,Send tracking link automatically
4,I placed an order 3 days ago and there's no update on the tracking page.,order_status,delivery_delay,frustrated,low,0.88,I understand your frustration. Let me check the status of your order and provide you with an update on the tracking information.,Send apology message and updated delivery ETA
5,"Hey! My order arrived super fast, just wanted to confirm everything is correct.",order_status,order_status,positive,low,0.95,"Thank you for your message! We're glad to hear your order arrived quickly. If you have any questions or need further assistance, feel free to ask!",Send tracking link automatically
6,Order #BL3021 shows delivered but I never received it. What's going on?,order_status,order_status,angry,high,0.91,I'm sorry to hear that your order shows as delivered but you haven't received it. Let me help you investigate this issue. Can you please confirm your shipping address?,Send tracking link automatically
7,My package has been sitting at the warehouse for 4 days with no movement.,order_status,delivery_delay,frustrated,low,0.9,I understand your frustration regarding the delay. Let me check the status of your package and see what we can do to expedite the delivery.,Send apology message and updated delivery ETA
8,My delivery was supposed to arrive yesterday and it still hasn't shown up.,delivery_delay,delivery_delay,frustrated,low,0.9,I'm sorry to hear that your delivery hasn't arrived yet. Let me check the status of your order and see what might be causing the delay.,Send apology message and updated delivery ETA
9,It's been 10 days since I ordered and the courier hasn't even attempted delivery.,delivery_delay,delivery_delay,frustrated,low,0.91,I apologize for the delay in your delivery. I understand how frustrating this can be. Let me check the status of your order and see what we can do to resolve this issue.,Send apology message and updated delivery ETA
10,The tracking says out for delivery since 2 days ago. Is something wrong?,delivery_delay,delivery_delay,frustrated,low,0.88,"I understand your concern about the tracking status. It seems there may be a delay in the delivery process. I recommend checking with the carrier for the latest updates, or I can assist you further if needed.",Send apology message and updated delivery ETA
11,I ordered before the sale ended specifically for fast delivery and now it's delayed.,delivery_delay,delivery_delay,frustrated,low,0.88,"I apologize for the delay in your order. I understand how important fast delivery is, especially during a sale. Let me check the status of your order and see how we can resolve this for you.",Send apology message and updated delivery ETA
12,Courier attempted delivery once and never came back. No rescheduling option either.,delivery_delay,delivery_delay,frustrated,low,0.88,"I'm sorry to hear about the delivery issue. Please provide your order number, and I will assist you in rescheduling the delivery.",Send apology message and updated delivery ETA
13,My order has been in transit for 8 days. This is completely unacceptable.,delivery_delay,delivery_delay,angry,high,0.92,I apologize for the delay in your order's transit. I understand how frustrating this can be. Let me check the status of your shipment and provide you with an update.,Send apology message and updated delivery ETA
14,Slight delay is fine but can you give me a realistic delivery date at least?,delivery_delay,delivery_delay,neutral,medium,0.85,"Thank you for your understanding! I can certainly help you with that. Please provide me with your order number, and I'll check the latest delivery date for you.",Send apology message and updated delivery ETA
15,I want a full refund. The product I received is not what I ordered.,refund_request,refund_request,angry,high,0.93,I'm sorry to hear that the product you received is not what you ordered. I can help you with the refund process. Please provide your order number so we can get started.,Initiate refund workflow
16,Can I return my whey protein? I bought the wrong flavor by mistake.,refund_request,refund_request,neutral,medium,0.85,"Yes, you can return your whey protein if you purchased the wrong flavor. Please check our return policy for details on how to proceed with the return.",Initiate refund workflow
17,I've been waiting 2 weeks for my refund to reflect in my account.,refund_request,refund_request,frustrated,low,0.88,I apologize for the delay in processing your refund. I understand how frustrating this can be. Let me check the status of your refund and get back to you shortly.,Initiate refund workflow
18,Requesting a refund as the product caused an allergic reaction.,refund_request,refund_request,angry,high,0.92,I'm sorry to hear that you've had an allergic reaction to the product. We take these matters seriously. I can assist you with the refund process. Please provide your order details so we can get started.,Initiate refund workflow
19,I accidentally ordered twice. Please cancel one and refund me.,refund_request,refund_request,neutral,medium,0.85,"Thank you for reaching out! I can help you with that. Please provide the order number for the duplicate order, and I'll assist you in canceling it and processing your refund.",Initiate refund workflow
20,Your refund policy says 7 days but it's been 15 days and nothing yet.,refund_request,refund_request,angry,high,0.92,I apologize for the delay in processing your refund. I understand how frustrating this can be. Let me check the status of your refund and get back to you shortly.,Initiate refund workflow
21,The creatine I received has a broken seal. Clearly tampered with.,product_issue,product_issue,angry,high,0.93,"I'm sorry to hear that the creatine you received has a broken seal. This is not acceptable, and we take such issues seriously. Please provide us with your order details, and we will assist you in resolving this matter promptly.",Escalate to human support agent
22,My protein powder has an extremely strange smell. Is it expired?,product_issue,product_issue,frustrated,low,0.88,"I'm sorry to hear that you're experiencing an issue with your protein powder. It's important to ensure the product is safe to consume. Please check the expiration date on the packaging, and if you're still concerned, we can assist you with a return or exchange.",Escalate to human support agent
23,The pre-workout I ordered has completely different packaging than advertised.,product_issue,product_issue,angry,high,0.88,"I'm sorry to hear that the pre-workout you received does not match the advertised packaging. Please provide us with your order details, and we'll look into this issue for you.",Escalate to human support agent
24,Found a hard lump in my mass gainer. Looks like it got wet during storage.,product_issue,product_issue,angry,high,0.88,"I'm sorry to hear about the issue with your mass gainer. Please provide us with your order details, and we will assist you in resolving this matter.",Escalate to human support agent
25,The capsules in my multivitamin bottle are half empty. Short fill issue?,product_issue,product_issue,angry,high,0.88,"I'm sorry to hear that your multivitamin bottle was short filled. Please provide your order details, and we'll investigate this issue and find a solution for you.",Escalate to human support agent
26,I've been using your whey for a month and noticed the taste changed. New formula?,product_issue,product_issue,neutral,medium,0.85,"Thank you for reaching out! We occasionally update our formulas to improve taste and nutrition. Please check our website for the latest information on our whey protein. If you have any further questions or concerns, feel free to ask!",Escalate to human support agent
27,Received a damaged box. The tub inside is cracked and leaking.,product_issue,product_issue,angry,high,0.92,"I'm sorry to hear that your package arrived damaged. Please provide us with your order number and any photos of the damage, and we'll assist you with a replacement or refund.",Escalate to human support agent
28,I want to cancel my monthly subscription immediately.,subscription_issue,subscription_issue,angry,high,0.88,"I'm sorry to hear that you want to cancel your subscription. I can help you with that. Please provide me with your account details, and I'll process the cancellation for you.",Provide subscription management link
29,How do I change my subscription from chocolate to vanilla flavor?,subscription_issue,subscription_issue,neutral,medium,0.85,"To change your subscription flavor from chocolate to vanilla, please log into your account, go to the subscription settings, and select the new flavor. If you need further assistance, feel free to reach out!",Provide subscription management link
30,I was charged for my subscription even after I cancelled it last week.,subscription_issue,subscription_issue,angry,high,0.93,I'm sorry to hear that you've been charged after cancelling your subscription. I understand how frustrating this can be. Let me help you resolve this issue and ensure you receive a refund for the charge.,Provide subscription management link
31,Can I pause my subscription for 2 months while I travel?,subscription_issue,subscription_issue,neutral,medium,0.85,"Yes, you can pause your subscription for up to 2 months. Please let us know the start date for the pause, and we'll take care of it for you!",Provide subscription management link
32,My subscription order skipped this month without any notification.,subscription_issue,subscription_issue,frustrated,low,0.88,I'm sorry to hear that your subscription order was skipped this month. Let me check your account and see what happened. Thank you for your patience!,Provide subscription management link
33,I want to upgrade my subscription plan to the premium bundle.,subscription_issue,subscription_issue,neutral,medium,0.85,"Thank you for your interest in upgrading to the premium bundle! Please provide your account details, and I'll assist you with the upgrade process.",Provide subscription management link
34,Been a subscriber for a year. Is there any loyalty discount available?,subscription_issue,subscription_issue,neutral,medium,0.85,"Thank you for being a loyal subscriber! Currently, we do not have a specific loyalty discount, but we appreciate your support. Please stay tuned for any future promotions!",Provide subscription management link
35,Payment failed but the amount was deducted from my bank account.,payment_failure,payment_failure,angry,high,0.92,"I'm sorry to hear that your payment failed while the amount was deducted from your account. Please check with your bank for any pending transactions, and I can assist you in resolving this issue. Would you like me to help you with a refund or further assistance?",Send payment retry link
36,I'm trying to pay with my credit card but the checkout keeps rejecting it.,payment_failure,payment_failure,frustrated,low,0.88,"I'm sorry to hear that you're having trouble with your credit card payment. Please check if your card details are entered correctly or try using a different payment method. If the issue persists, feel free to reach out for further assistance.",Send payment retry link
37,Got charged twice for the same order. Please reverse the duplicate charge.,payment_failure,payment_failure,angry,high,0.92,I apologize for the inconvenience caused by the duplicate charge. I will assist you in reversing the extra charge as quickly as possible. Please hold on while I process this for you.,Send payment retry link
38,My UPI payment timed out but I was still charged. Order not placed though.,payment_failure,payment_failure,angry,high,0.92,"I'm sorry to hear about the issue with your UPI payment. Please check with your bank regarding the charge, and we can assist you in resolving this matter. Let us know if you need further help!",Send payment retry link
39,The EMI option isn't working on your website for orders above 2000.,payment_failure,payment_failure,frustrated,low,0.88,"I'm sorry to hear that you're having trouble with the EMI option on our website. Please try refreshing the page or clearing your browser cache. If the issue persists, feel free to reach out to our support team for further assistance.",Send payment retry link
40,I used a gift card at checkout but the balance wasn't deducted properly.,payment_failure,payment_failure,angry,high,0.91,"I'm sorry to hear that there was an issue with your gift card balance. Please provide me with the order details, and I'll help you resolve this as quickly as possible.",Send payment retry link
41,What is the difference between whey isolate and whey concentrate?,general_query,general_query,neutral,medium,0.85,"Whey isolate is a more processed form of whey protein that contains a higher percentage of protein and less fat and lactose compared to whey concentrate. If you have any more questions or need further assistance, feel free to ask!",Respond with FAQ information
42,Does your pre-workout contain caffeine? I'm sensitive to stimulants.,general_query,general_query,neutral,medium,0.85,"Yes, our pre-workout does contain caffeine. If you're sensitive to stimulants, we recommend checking the label for the exact amount or considering our stimulant-free options. Let us know if you have any other questions!",Respond with FAQ information
43,Are your products tested for banned substances? I'm a competitive athlete.,general_query,general_query,neutral,medium,0.85,"Yes, our products are tested for banned substances to ensure they meet the highest safety standards for athletes. If you have any specific concerns or need more information, feel free to ask!",Respond with FAQ information
44,What is the best product for lean muscle gain for a beginner?,general_query,general_query,neutral,medium,0.85,"For beginners looking to gain lean muscle, I recommend starting with a balanced diet rich in protein, along with a good quality protein supplement. Additionally, consider incorporating strength training exercises into your routine. If you have specific products in mind, I can help you compare them!",Respond with FAQ information
45,Do you offer bulk pricing for gym owners who want to resell?,general_query,general_query,neutral,medium,0.85,"Thank you for your inquiry! Yes, we do offer bulk pricing for gym owners interested in reselling our products. Please provide us with more details about your needs, and we'll be happy to assist you further.",Respond with FAQ information
46,Is your whey protein suitable for lactose intolerant people?,general_query,general_query,neutral,medium,0.85,"Yes, our whey protein is suitable for lactose intolerant individuals as it is processed to remove most of the lactose. However, we recommend checking the ingredient list for any specific concerns.",Respond with FAQ information
47,What are the shipping charges for orders to remote locations in Northeast India?,general_query,general_query,neutral,medium,0.85,"Thank you for your inquiry! Shipping charges to remote locations in Northeast India can vary based on the specific area and the weight of the order. Please provide your location details, and I can assist you further with the exact charges.",Respond with FAQ information
48,I love the new mango flavor of the BCAA. Tastes amazing honestly.,general_query,general_query,positive,low,0.95,"Thank you for your feedback! We're thrilled to hear that you love the new mango flavor of the BCAA. If you have any other questions or need assistance, feel free to reach out!",Respond with FAQ information
49,Does the mass gainer contain any artificial sweeteners or preservatives?,general_query,general_query,neutral,medium,0.85,"Thank you for your question! I can help you with that. Please check the product label for detailed information on ingredients, including any artificial sweeteners or preservatives. If you have any other questions, feel free to ask!",Respond with FAQ information
50,Can I stack your creatine with the pre-workout or is that too much?,general_query,general_query,neutral,medium,0.85,"Yes, you can stack our creatine with the pre-workout. However, it's always a good idea to consult with a healthcare professional to ensure it fits your personal fitness plan.",Respond with FAQ information
