id,query,expected_category,expected_sentiment
1,"Where is my order? It's been 6 days and I haven't received anything.",order_status,angry
2,"Can you tell me the current status of my order #BL2947?",order_status,neutral
3,"Just wanted to check if my order has been shipped yet.",order_status,neutral
4,"I placed an order 3 days ago and there's no update on the tracking page.",order_status,frustrated
5,"Hey! My order arrived super fast, just wanted to confirm everything is correct.",order_status,positive
6,"Order #BL3021 shows delivered but I never received it. What's going on?",order_status,angry
7,"My package has been sitting at the warehouse for 4 days with no movement.",order_status,frustrated
8,"My delivery was supposed to arrive yesterday and it still hasn't shown up.",delivery_delay,frustrated
9,"It's been 10 days since I ordered and the courier hasn't even attempted delivery.",delivery_delay,angry
10,"The tracking says out for delivery since 2 days ago. Is something wrong?",delivery_delay,frustrated
11,"I ordered before the sale ended specifically for fast delivery and now it's delayed.",delivery_delay,angry
12,"Courier attempted delivery once and never came back. No rescheduling option either.",delivery_delay,angry
13,"My order has been in transit for 8 days. This is completely unacceptable.",delivery_delay,angry
14,"Slight delay is fine but can you give me a realistic delivery date at least?",delivery_delay,neutral
15,"I want a full refund. The product I received is not what I ordered.",refund_request,angry
16,"Can I return my whey protein? I bought the wrong flavor by mistake.",refund_request,neutral
17,"I've been waiting 2 weeks for my refund to reflect in my account.",refund_request,frustrated
18,"Requesting a refund as the product caused an allergic reaction.",refund_request,frustrated
19,"I accidentally ordered twice. Please cancel one and refund me.",refund_request,neutral
20,"Your refund policy says 7 days but it's been 15 days and nothing yet.",refund_request,angry
21,"The creatine I received has a broken seal. Clearly tampered with.",product_issue,angry
22,"My protein powder has an extremely strange smell. Is it expired?",product_issue,frustrated
23,"The pre-workout I ordered has completely different packaging than advertised.",product_issue,frustrated
24,"Found a hard lump in my mass gainer. Looks like it got wet during storage.",product_issue,neutral
25,"The capsules in my multivitamin bottle are half empty. Short fill issue?",product_issue,frustrated
26,"I've been using your whey for a month and noticed the taste changed. New formula?",product_issue,neutral
27,"Received a damaged box. The tub inside is cracked and leaking.",product_issue,angry
28,"I want to cancel my monthly subscription immediately.",subscription_issue,neutral
29,"How do I change my subscription from chocolate to vanilla flavor?",subscription_issue,neutral
30,"I was charged for my subscription even after I cancelled it last week.",subscription_issue,angry
31,"Can I pause my subscription for 2 months while I travel?",subscription_issue,neutral
32,"My subscription order skipped this month without any notification.",subscription_issue,frustrated
33,"I want to upgrade my subscription plan to the premium bundle.",subscription_issue,positive
34,"Been a subscriber for a year. Is there any loyalty discount available?",subscription_issue,positive
35,"Payment failed but the amount was deducted from my bank account.",payment_failure,angry
36,"I'm trying to pay with my credit card but the checkout keeps rejecting it.",payment_failure,frustrated
37,"Got charged twice for the same order. Please reverse the duplicate charge.",payment_failure,angry
38,"My UPI payment timed out but I was still charged. Order not placed though.",payment_failure,frustrated
39,"The EMI option isn't working on your website for orders above 2000.",payment_failure,neutral
40,"I used a gift card at checkout but the balance wasn't deducted properly.",payment_failure,neutral
41,"What is the difference between whey isolate and whey concentrate?",general_query,neutral
42,"Does your pre-workout contain caffeine? I'm sensitive to stimulants.",general_query,neutral
43,"Are your products tested for banned substances? I'm a competitive athlete.",general_query,neutral
44,"What is the best product for lean muscle gain for a beginner?",general_query,neutral
45,"Do you offer bulk pricing for gym owners who want to resell?",general_query,neutral
46,"Is your whey protein suitable for lactose intolerant people?",general_query,neutral
47,"What are the shipping charges for orders to remote locations in Northeast India?",general_query,neutral
48,"I love the new mango flavor of the BCAA. Tastes amazing honestly.",general_query,positive
49,"Does the mass gainer contain any artificial sweeteners or preservatives?",general_query,neutral
50,"Can I stack your creatine with the pre-workout or is that too much?",general_query,neutral